gvt,PE_0,PE_1,PE_2,PE_3,PE_4,PE_5,PE_6,PE_7,PE_8,PE_9,PE_10,PE_11,PE_12,PE_13,PE_14,PE_15
0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
114.235237,4,10,8,11,20,15,15,27,7,10,3,6,0,18,9,7
149.521881,32,18,36,33,22,26,24,56,18,21,25,31,22,24,17,28
180.842987,10,18,19,15,32,18,14,27,19,11,14,17,9,36,23,26
209.701111,17,27,34,29,25,18,42,61,12,30,37,26,17,16,35,43
246.910400,61,42,45,65,43,38,32,84,58,33,42,66,35,47,45,49
271.189514,27,25,37,40,36,21,18,25,37,25,27,35,33,28,22,26
304.516632,53,43,37,58,30,43,27,50,58,42,46,66,35,34,42,31
331.509186,22,37,22,28,13,31,18,34,30,22,31,26,21,24,34,18
361.852386,56,46,41,42,35,34,38,52,31,46,22,69,15,34,29,31
391.424011,51,52,52,81,46,50,25,67,49,62,54,69,30,43,38,70
416.149963,30,37,29,45,29,17,13,57,16,27,28,54,20,39,19,25
448.781158,22,43,30,37,21,36,15,37,14,16,30,41,14,20,35,28
474.630890,17,6,19,29,39,14,20,10,26,7,15,21,10,21,21,12
505.519684,17,27,29,15,12,10,18,25,19,20,18,30,13,16,17,21
521.256348,31,19,11,38,21,14,20,31,18,28,5,46,16,32,22,11
553.637085,23,14,33,23,22,16,11,36,16,33,16,40,20,22,41,23
573.062378,14,4,14,15,9,7,5,6,4,13,3,16,4,4,5,1
583.363037,10,10,5,12,11,3,4,16,12,13,4,7,9,7,8,11
605.453674,23,12,27,23,12,19,16,44,17,28,17,36,10,6,12,18
635.036926,30,35,21,56,29,25,21,30,29,27,37,39,24,35,23,33
661.660828,25,36,36,19,23,36,15,52,27,39,30,58,35,18,41,33
669.001709,28,7,40,51,14,18,2,37,7,13,11,24,12,12,21,10
698.807129,53,39,62,43,22,49,19,57,42,43,56,49,39,42,27,33
723.572571,11,13,17,24,17,38,15,35,12,25,21,15,24,10,20,17
729.715942,15,27,4,18,10,5,14,14,14,5,11,14,1,7,13,10
749.002258,10,5,8,12,11,4,0,15,13,12,4,0,15,9,21,7
759.265320,23,19,19,33,10,19,11,33,13,11,23,32,0,4,7,2
786.315063,18,23,11,20,11,16,13,24,14,30,12,27,15,23,23,14
809.595337,23,24,30,42,30,24,17,51,27,21,36,40,29,13,42,12
841.042542,41,35,32,44,37,19,34,53,40,38,17,41,30,27,49,20
866.108032,51,36,56,78,54,48,22,55,38,82,53,80,32,25,47,35
891.198669,63,78,53,72,75,57,52,64,51,59,72,109,69,62,61,53
911.054688,2,6,28,15,19,25,6,32,10,12,17,20,13,12,11,2
935.915894,23,30,12,30,32,14,3,28,28,16,22,26,13,18,23,17
953.746948,28,22,16,28,9,35,9,25,24,21,11,28,18,23,13,17
971.787354,6,12,24,9,8,2,9,13,2,12,11,10,6,5,7,6
993.569946,15,12,16,28,13,11,9,21,15,23,19,15,15,19,14,6
1025.301880,58,35,29,43,38,28,22,41,22,38,28,38,18,24,25,28
1048.353882,21,26,21,59,28,25,20,33,27,15,30,32,20,16,33,19
1068.692993,25,27,23,36,14,22,22,33,70,14,29,46,9,24,32,19
1092.154175,19,16,17,20,10,11,5,21,7,7,6,23,13,8,17,5
1118.527344,15,7,17,10,17,20,10,11,19,11,18,15,5,17,15,9
1149.097534,14,18,17,19,20,7,5,11,19,22,11,14,4,21,20,11
1184.045654,26,24,25,46,28,28,16,40,17,17,21,23,16,25,30,24
1217.545166,52,26,19,36,22,23,10,27,33,25,32,29,28,18,31,15
1250.869507,50,33,34,54,25,35,23,37,42,31,26,37,27,38,30,31
1282.435425,38,20,23,35,22,27,7,31,20,18,25,24,16,21,33,16
1311.013550,19,20,12,30,14,9,14,18,17,15,17,27,13,12,25,9
1337.893677,12,24,18,16,7,20,23,11,17,27,18,16,12,23,23,5
1365.559937,36,25,23,45,25,33,17,28,17,15,26,41,17,29,21,22
1396.529785,30,19,21,37,24,24,31,29,32,50,20,38,18,26,39,14
1430.002563,48,39,49,38,40,24,28,51,26,39,23,48,7,37,26,10
1455.513306,41,20,27,34,28,38,13,49,38,18,51,45,9,25,32,14
1469.621826,26,25,27,38,24,17,2,35,19,18,27,17,18,20,22,17
1496.633301,33,30,36,45,29,32,25,64,46,29,29,40,27,25,29,36
1515.707886,16,12,13,15,12,6,7,20,9,13,19,23,19,11,10,7
1521.292236,2,12,3,6,6,1,6,12,11,2,5,5,0,5,8,2
1543.136230,18,13,18,12,14,23,12,14,16,12,15,30,18,13,26,25
1560.205200,42,23,40,44,15,21,26,43,24,17,18,37,9,10,32,18
1585.305054,21,31,20,56,21,22,19,32,30,32,14,47,16,12,29,5
1610.350708,10,28,18,18,15,15,16,29,17,17,20,17,20,12,22,10
1619.381104,25,9,34,36,4,28,13,17,25,21,9,40,6,21,20,14
1640.800781,3,8,11,20,25,11,2,20,8,10,10,16,10,3,17,4
1658.063721,28,31,27,16,24,9,27,30,30,12,19,35,16,18,20,4
1681.828369,34,26,24,39,23,7,21,25,35,11,20,55,23,32,33,20
1706.684204,8,31,25,24,16,8,12,33,33,35,19,25,10,9,23,7
1732.830200,38,27,51,47,42,27,26,25,42,46,44,41,38,31,51,22
1750.073486,44,25,15,70,52,55,24,34,30,26,47,57,25,42,36,35
1772.094971,56,63,70,66,37,44,23,63,65,34,36,57,44,40,54,33
1796.742554,9,6,14,12,7,19,10,18,21,20,19,7,20,14,21,22
1823.353271,24,12,25,24,20,22,28,29,19,7,21,26,20,10,18,11
1852.397339,32,45,36,51,38,22,27,39,31,27,37,48,23,21,65,19
1885.119507,19,17,29,28,36,27,5,33,16,28,31,42,17,19,36,26
1916.947632,31,36,36,36,24,36,24,62,60,22,30,40,47,24,40,17
1937.763428,16,9,9,21,13,5,0,11,39,9,16,8,12,2,17,8
1965.859375,18,17,37,31,18,15,26,17,25,23,17,26,16,11,19,19
1989.379028,19,7,10,17,20,14,10,30,19,20,20,31,9,19,22,9
1997.209351,4,8,4,0,10,3,2,3,5,3,2,5,5,0,0,2
2007.041992,0,12,1,5,4,4,1,8,2,1,1,1,4,1,4,6
2020.518921,13,12,16,21,5,4,6,12,9,6,10,11,7,6,15,3
2033.296387,1,1,1,1,0,3,0,4,3,0,1,12,1,0,1,3
2045.013062,8,3,25,15,3,25,3,25,16,14,24,13,2,11,16,7
2059.142822,20,15,4,17,4,4,13,12,10,3,9,11,16,7,10,7
2080.822510,36,28,18,44,23,21,11,32,18,20,24,41,18,21,40,19
2095.737793,0,5,2,6,11,8,1,6,0,4,3,9,1,2,10,9
2113.285889,21,13,51,28,31,21,23,17,34,27,23,33,28,12,35,22
2141.150635,40,25,19,38,23,11,26,51,14,31,26,37,23,24,18,19
2162.171631,9,16,5,9,5,2,5,22,5,1,10,14,3,5,16,8
2179.531982,14,5,13,16,9,19,11,10,19,14,5,13,4,4,5,11
2206.495117,22,24,10,33,8,17,4,19,18,11,18,26,6,20,24,9
2221.565430,2,6,13,6,10,2,4,10,7,8,6,21,9,4,4,2
2231.123779,23,7,5,15,17,16,2,4,23,10,14,8,15,12,8,7
2257.319824,8,24,22,25,20,11,14,32,28,23,12,34,9,9,46,25
2280.677734,29,18,19,18,12,7,14,19,8,29,17,12,18,11,9,8
2303.040771,26,29,11,27,23,13,9,16,20,17,21,21,24,6,38,12
2326.905029,27,20,24,25,30,19,13,23,19,17,27,35,19,13,5,35
2353.667236,27,23,23,24,26,36,15,29,21,36,20,53,9,13,18,33
2379.347656,23,9,16,22,16,12,6,16,17,14,15,26,13,8,13,15
2396.735596,6,2,17,20,8,9,11,20,10,22,5,11,5,5,16,6
2429.733643,23,12,17,19,8,15,11,15,21,17,19,17,12,7,32,17
2446.353027,37,31,11,25,24,23,9,31,27,19,18,28,34,6,31,13
