GVT-Bin,PE_0,PE_1,PE_2,PE_3,PE_4,PE_5,PE_6,PE_7,PE_8,PE_9,PE_10,PE_11,PE_12,PE_13,PE_14,PE_15
0.000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
114.235237,35,39,37,50,51,43,44,64,33,38,35,50,28,51,35,27
149.521881,64,48,65,75,48,53,59,95,50,50,54,70,52,57,45,48
180.842987,29,44,44,47,56,41,36,60,44,39,40,51,31,60,49,43
209.701111,35,47,55,50,44,42,62,88,26,52,54,44,39,31,52,56
246.910400,95,76,78,107,73,67,55,123,91,64,72,103,68,78,76,71
271.189514,44,41,56,61,54,41,36,43,53,44,44,56,52,45,36,37
304.516632,81,76,69,99,57,72,53,87,88,75,73,100,59,67,72,50
331.509186,35,59,40,55,29,52,37,57,51,38,51,45,38,42,55,25
361.852386,85,70,70,71,57,60,65,90,54,70,43,105,37,60,51,45
391.424011,71,72,73,115,64,73,48,97,75,89,76,96,53,68,62,87
416.149963,47,55,52,69,47,34,31,83,33,49,48,79,42,61,37,35
448.781158,39,70,52,72,42,65,44,78,44,42,55,73,38,43,63,46
474.630890,37,27,43,58,63,32,39,38,48,28,36,48,34,48,46,31
505.519684,41,55,51,43,36,35,47,54,46,43,41,64,42,43,42,42
521.256348,52,36,26,63,41,29,38,57,42,44,22,75,35,54,37,24
553.637085,45,40,63,55,50,47,41,69,44,65,37,71,45,47,70,42
573.062378,24,14,24,28,20,17,17,20,18,24,12,30,15,16,11, 5
583.363037,23,22,19,28,26,20,18,33,23,27,15,24,24,18,22,23
605.453674,36,26,41,45,24,35,30,66,31,44,32,53,21,18,27,29
635.036926,51,61,41,89,51,48,43,64,52,50,65,65,43,58,47,50
661.660828,43,57,57,44,44,58,38,80,45,57,53,85,63,46,63,47
669.001709,39,14,55,65,20,30,12,47,12,23,15,41,21,19,32,14
698.807129,76,63,84,73,41,74,43,86,68,69,86,82,62,70,54,47
723.572571,25,27,34,48,33,57,33,58,28,45,39,34,48,32,36,30
729.715942,27,40,14,31,16,13,24,21,21, 8,17,24, 4,14,20,15
749.002258,23,18,18,30,24,16,12,35,24,30,16,13,36,23,38,18
759.265320,33,30,33,48,22,31,21,51,18,17,32,48, 7,12,12, 6
786.315063,40,47,29,44,32,37,33,49,33,50,31,55,38,50,46,30
809.595337,42,43,50,78,51,43,38,78,44,36,54,69,51,32,63,26
841.042542,74,66,57,82,61,39,60,85,64,62,37,75,62,57,76,34
866.108032,73,57,81,111,78,71,43,77,61,103,79,111,53,47,73,53
891.198669,87,104,76,108,98,85,76,97,73,80,93,144,94,90,83,68
911.054688,12,19,45,27,31,41,16,50,21,29,29,35,29,25,24, 9
935.915894,45,54,34,59,54,31,22,52,46,34,37,50,35,42,45,31
953.746948,48,36,33,56,22,54,32,46,45,37,32,50,33,45,34,29
971.787354,14,24,39,19,20,17,19,30,14,22,23,25,20,16,18,16
993.569946,36,28,38,51,30,27,28,47,33,40,37,43,36,43,31,17
1025.301880,80,62,57,76,65,54,48,75,47,66,49,72,46,51,49,43
1048.353882,43,46,39,94,47,48,46,61,53,38,53,62,40,39,53,31
1068.692993,46,45,40,68,32,40,41,61,94,30,52,70,27,39,45,31
1092.154175,32,32,32,37,27,25,20,39,22,24,17,44,31,24,28,14
1118.527344,37,26,40,36,41,42,30,41,37,33,41,43,28,37,33,23
1149.097534,38,44,42,56,46,30,28,45,41,48,33,44,27,43,49,28
1184.045654,50,52,58,84,57,64,43,87,41,44,52,59,50,54,56,47
1217.545166,81,62,46,76,50,53,38,61,64,53,62,65,58,49,62,34
1250.869507,78,58,64,99,55,66,53,73,70,57,58,72,52,72,52,52
1282.435425,61,49,48,69,49,58,31,62,46,48,52,60,43,51,58,35
1311.013550,39,43,33,61,36,30,36,47,39,42,41,63,30,34,51,21
1337.893677,31,42,35,40,23,43,43,38,37,48,40,37,33,45,43,15
1365.559937,57,44,45,73,43,62,41,57,39,36,50,75,38,55,38,34
1396.529785,56,42,46,69,49,52,60,56,58,75,47,70,44,53,63,30
1430.002563,78,69,75,74,71,45,53,89,50,71,54,82,38,70,49,27
1455.513306,65,36,45,59,51,62,36,79,56,39,72,75,28,45,52,27
1469.621826,39,44,48,62,44,33,16,56,37,33,43,38,31,34,39,32
1496.633301,52,54,57,73,51,59,45,96,69,51,50,69,44,46,50,52
1515.707886,30,23,25,28,23,16,21,34,17,33,36,36,40,22,21,14
1521.292236, 4,20, 5,11,12, 3, 9,19,17, 7,10,11, 0, 9,13, 3
1543.136230,36,31,39,36,32,43,33,33,35,30,34,52,40,32,43,36
1560.205200,58,41,62,68,35,39,46,74,42,33,36,71,26,29,53,30
1585.305054,37,50,36,77,38,38,35,58,47,51,28,74,36,28,45,15
1610.350708,27,47,32,41,37,32,37,53,33,40,39,44,44,28,44,26
1619.381104,36,20,51,57,13,39,27,32,36,30,19,58,15,38,35,21
1640.800781,19,22,21,33,40,25,14,34,18,23,25,34,26,13,33,15
1658.063721,42,52,49,39,46,27,43,57,51,31,38,55,32,40,37,19
1681.828369,55,42,46,69,47,28,44,50,57,25,40,83,47,54,57,33
1706.684204,24,47,41,44,29,24,23,57,51,55,34,50,24,23,37,18
1732.830200,60,42,72,74,62,49,50,48,64,67,63,70,60,52,71,39
1750.073486,63,40,34,94,69,74,44,52,46,40,65,81,43,65,51,48
1772.094971,74,81,95,92,60,63,40,94,82,52,53,84,62,57,68,45
1796.742554,23,21,27,30,23,40,24,34,39,42,37,26,38,26,36,33
1823.353271,49,28,46,57,44,44,51,54,37,26,40,53,43,31,36,30
1852.397339,59,73,60,82,67,47,50,66,52,45,64,78,41,46,86,36
1885.119507,43,42,55,60,67,57,31,66,44,58,58,75,45,44,65,45
1916.947632,55,64,64,71,49,70,49,96,90,55,53,69,78,53,66,34
1937.763428,34,25,25,47,31,23,19,35,59,25,35,30,32,21,36,23
1965.859375,42,43,60,66,47,37,52,43,50,47,40,57,40,38,45,37
1989.379028,42,28,33,44,41,31,33,61,38,35,39,61,32,42,45,27
1997.209351, 8,13,12, 4,16, 7, 5, 6, 9, 9, 5, 9,11, 5, 3, 5
2007.041992, 4,19, 4,14, 7, 8, 6,18, 8, 4, 6,10,16, 5,13,10
2020.518921,28,25,30,42,23,18,26,30,23,26,29,31,21,27,29,16
2033.296387, 7, 9, 7,11, 6,10, 7,12,12, 8, 5,23,14, 6, 8, 6
2045.013062,15,12,36,29,15,40,15,42,28,26,40,28, 6,21,26,13
2059.142822,32,26,15,37,14,11,26,24,21,15,17,23,27,19,23,16
2080.822510,59,52,38,71,43,43,28,64,39,40,45,69,38,43,61,34
2095.737793, 9,12, 6,19,19,19,15,14, 8, 9,13,26,10,11,18,15
2113.285889,40,35,73,55,48,40,40,42,49,48,39,55,50,28,54,35
2141.150635,63,54,38,70,47,30,51,87,36,52,44,70,50,48,39,36
2162.171631,22,31,19,22,21,14,17,44,14,15,24,34,14,18,29,20
2179.531982,29,21,29,36,26,41,30,33,41,32,21,33,20,18,26,27
2206.495117,48,49,35,66,33,41,29,49,45,33,43,56,29,45,48,23
2221.565430, 7,15,25,19,17,11,13,22,15,18,14,31,18,12,14, 6
2231.123779,37,20,19,29,28,27,16,21,36,19,24,23,28,23,20,12
