GVT,Forced GVT,Total GVT Computations,Total All Reduce Calls,Average Reduction / GVT,total events processes,events aborted,events rolled back,event ties detected in PE queues,efficiency,total remote (shared mem) events processed,percent remote events,total remote network events processed,percent remote events,total rollbacks,primary rollbacks,secondary roll backs,fossil collect attempts,net events processed,remote sends,remote recvs
0.000000,0,0,3,inf,240,0,23,0,89.400922,0,0.000000,31,14.285714,7,4,3,0,217,45,32
114.235235,0,1,3,3.000000,256,0,183,0,-150.684932,0,0.000000,13,17.808219,47,8,39,1,73,75,76
149.521884,0,1,3,3.000000,256,0,86,0,49.411765,0,0.000000,32,18.823529,18,6,12,1,170,80,69
180.842987,0,1,3,3.000000,256,0,54,0,73.267327,0,0.000000,22,10.891089,9,5,4,1,202,52,88
209.701109,0,1,3,3.000000,256,0,113,0,20.979021,0,0.000000,29,20.279720,32,9,23,1,143,53,89
246.910405,0,1,3,3.000000,256,0,122,0,8.955224,0,0.000000,29,21.641791,26,11,15,1,134,97,78
271.189514,0,1,3,3.000000,256,0,87,0,48.520710,0,0.000000,33,19.526627,20,13,7,1,169,93,93
304.516637,0,1,3,3.000000,256,0,128,0,0.000000,0,0.000000,19,14.843750,25,10,15,1,128,87,44
331.509179,0,1,3,3.000000,256,0,101,0,34.838710,0,0.000000,25,16.129032,23,14,9,1,155,99,77
361.852387,0,1,3,3.000000,256,0,99,0,36.942675,0,0.000000,25,15.923567,24,12,12,1,157,75,103
391.424026,0,1,3,3.000000,256,0,110,0,24.657534,0,0.000000,32,21.917808,25,13,12,1,146,128,72
416.149966,0,1,3,3.000000,256,0,95,0,40.993789,0,0.000000,25,15.527950,19,12,7,1,161,79,54
448.781162,0,1,3,3.000000,256,0,153,0,-48.543689,0,0.000000,18,17.475728,26,18,8,1,103,110,70
474.630896,0,1,3,3.000000,256,0,113,0,20.979021,0,0.000000,20,13.986014,29,13,16,1,143,78,74
505.519699,0,1,3,3.000000,256,0,109,0,25.850340,0,0.000000,31,21.088435,23,10,13,1,147,107,57
521.256329,0,1,3,3.000000,256,0,144,0,-28.571429,0,0.000000,21,18.750000,28,10,18,1,112,117,85
553.637057,0,1,3,3.000000,256,0,122,0,8.955224,0,0.000000,20,14.925373,29,13,16,1,134,88,96
573.062369,0,1,3,3.000000,256,0,148,0,-37.037037,0,0.000000,14,12.962963,34,10,24,1,108,84,74
583.363031,0,1,3,3.000000,256,0,139,0,-18.803419,0,0.000000,25,21.367521,42,16,26,1,117,99,79
605.453686,0,1,3,3.000000,256,0,188,0,-176.470588,0,0.000000,14,20.588235,40,11,29,1,68,96,93
635.036932,0,1,3,3.000000,256,0,101,0,34.838710,0,0.000000,30,19.354839,25,10,15,1,155,72,101
661.660802,0,1,3,3.000000,256,0,144,0,-28.571429,0,0.000000,14,12.500000,32,12,20,1,112,88,102
669.001712,0,1,3,3.000000,256,0,218,0,-473.684211,0,0.000000,11,28.947368,39,12,27,1,38,103,65
698.807119,0,1,3,3.000000,256,0,184,0,-155.555556,0,0.000000,10,13.888889,42,8,34,1,72,60,78
723.572552,0,1,3,3.000000,256,0,116,0,17.142857,0,0.000000,24,17.142857,27,10,17,1,140,70,90
729.715969,0,1,3,3.000000,256,0,134,0,-9.836066,0,0.000000,24,19.672131,28,13,15,1,122,88,114
749.002283,0,1,3,3.000000,256,0,228,0,-714.285714,0,0.000000,6,21.428571,37,11,26,1,28,144,99
759.265296,0,1,3,3.000000,256,0,135,0,-11.570248,0,0.000000,15,12.396694,30,11,19,1,121,97,94
786.315053,0,1,3,3.000000,256,0,165,0,-81.318681,0,0.000000,17,18.681319,31,8,23,1,91,77,83
809.595355,0,1,3,3.000000,256,0,129,0,-1.574803,0,0.000000,20,15.748031,20,12,8,1,127,86,90
841.042562,0,1,3,3.000000,256,0,85,0,50.292398,0,0.000000,27,15.789474,21,11,10,1,171,61,85
866.108012,0,1,3,3.000000,256,0,99,0,36.942675,0,0.000000,31,19.745223,18,6,12,1,157,83,71
891.198671,0,1,3,3.000000,256,0,116,0,17.142857,0,0.000000,24,17.142857,21,8,13,1,140,92,71
911.054684,0,1,3,3.000000,256,0,120,0,11.764706,0,0.000000,22,16.176471,31,9,22,1,136,68,72
935.915865,0,1,3,3.000000,256,0,239,0,-1305.882353,0,0.000000,4,23.529412,49,21,28,1,17,120,98
953.746961,0,1,3,3.000000,256,0,132,0,-6.451613,0,0.000000,17,13.709677,25,11,14,1,124,107,87
971.787345,0,1,3,3.000000,256,0,177,0,-124.050633,0,0.000000,11,13.924051,36,10,26,1,79,77,71
993.569970,0,1,3,3.000000,256,0,139,0,-18.803419,0,0.000000,19,16.239316,30,15,15,1,117,99,110
1025.301895,0,1,3,3.000000,256,0,111,0,23.448276,0,0.000000,25,17.241379,23,8,15,1,145,83,47
1048.353837,0,1,3,3.000000,256,0,114,0,19.718310,0,0.000000,24,16.901408,20,8,12,1,142,92,97
1068.692956,0,1,3,3.000000,256,0,100,0,35.897436,0,0.000000,30,19.230769,21,8,13,1,156,78,92
1092.154126,0,1,3,3.000000,256,0,224,0,-600.000000,0,0.000000,4,12.500000,42,12,30,1,32,102,52
1118.527318,0,1,3,3.000000,256,0,93,0,42.944785,0,0.000000,22,13.496933,19,12,7,1,163,80,86
1149.097535,0,1,3,3.000000,256,0,80,0,54.545455,0,0.000000,34,19.318182,17,6,11,1,176,94,96
1184.045692,0,1,3,3.000000,256,0,116,0,17.142857,0,0.000000,20,14.285714,26,14,12,1,140,86,73
1217.545143,0,1,3,3.000000,256,0,71,0,61.621622,0,0.000000,34,18.378378,13,6,7,1,185,72,57
1250.869549,0,1,3,3.000000,256,0,74,0,59.340659,0,0.000000,28,15.384615,20,8,12,1,182,70,59
